CD4Tconv	Fibroblasts	Malignant	DC
NTAN1	0	0.46	0	0
ARHGAP31	0	0.29	0	0.36
MANSC1	0	0.26	0.95	0
PEAK1	0	0.29	0	0
PPM1F	0	0.25	0	0
PXN	0	0.39	0	0
CDC42BPA	0	0.33	0	0
LDHB	0	-0.76	-0.4	-0.48
RGL2	0	0.35	0	0
FAM65A	0	0.34	0	0
FDPS	0	0.55	0.4	0
ECE1	0	0.45	0	0
NOD1	0	0.27	0	0
CSGALNACT1	0	0.27	0	0
MLLT4	0	0.32	0.34	0
ADAM10	0	0.51	0	0
PALMD	0	0.42	0.39	0
TP53I11	0	0.37	0	0
SNTB2	0	0.33	0	0
MAPK3	0	0.32	0	0
CASC15	0	0.25	0	0
ARHGEF12	0	0.3	0	0
MCTP1	0	0.49	0	0
RP11-382A20	0	0.32	0	0
FAM107A	0	0.34	0	0
SNAI1	0	0.47	0	0
PIEZO1	0	0.33	0	0
SOCS2	0	0.33	0	0.34
SOX7	0	0.32	0	0
HAPLN3	0	0.36	0	0
LTC4S	0	0.41	0	0
PNPLA2	0	0.54	0.8	0
AKAP2	0	0.25	0	0
ADD1	0	0.41	0	0
PEPD	0	0.47	0	0
TMEM205	0	0.43	0.29	0
ARL15	0	0.32	0	0
TANC1	0	0.28	0	0
DOCK5	0	0.26	0	0
FNBP1L	0	0.25	0.28	0
APOL3	0	0.28	0	0
ZFHX3	0	0.33	0	0
DOCK1	0	0.25	0	0
SLC38A2	0	0.51	0.39	0
NOTCH1	0	0.26	0	0
PLA2G16	0	0.31	-0.35	0
CTTNBP2NL	0	0.28	0	0
SLC41A1	0	0.28	0	0
MID1	0	0.27	0	0
FZD6	0	0.3	0.29	0
CFL2	0	0.3	0	0
MAP3K11	0	0.32	0	0
SH3GL1	0	0.36	0	0
BMPR2	0	0.27	0	0
FEZ2	0	0.36	0	0
DHODH	0	0.26	0	0
SIN3B	0	0.31	0	0
SRP14	0	0.41	0	0
HOMER3	0	0.27	0	0
MCFD2	0	0.39	0	0
RTKN	0	0.26	0	0
YPEL2	0	0.32	-0.27	0
MACF1	0	0.38	-0.26	0
NARF	0	0.4	0	0
NCKAP1	0	0.27	0.29	0
HDAC7	0	0.29	0	-0.26
SLC44A2	0	0.33	0	-0.28
IFT43	0	0.31	0.25	0
GNS	0	0.32	0	0
NFATC1	0	0.46	0	0
ABCG1	0	0.28	0	0
TMEM120A	0	0.41	0.64	0
ROCK2	0	0.26	0	0
VAMP3	0	0.35	0	0
PGF	0	0.32	0	0
SCNN1B	0	0.25	0.27	0
HIP1	0	0.26	0	0
SLC43A3	0	0.27	0	0
ARHGAP17	0	0.28	0	0
SLC27A3	0	0.32	0	0
TSPAN2	0	0.37	0	0
YWHAH	0	0.36	-0.28	0.26
SMYD2	0	0.39	0	0
MAP4K2	0	0.27	0	0
SPTLC2	0	0.26	0	0
POLR2L	0	0.43	-0.33	0
ELOVL1	0	0.39	0	0
ACKR1	0	0.39	0	0
ATF6	0	0.3	0	0
RND1	0	0.32	0.5	0
LUZP1	0	0.29	0	0
MIDN	0	0.43	0.48	0
TMEM50A	0	0.35	-0.45	0
KBTBD2	0	0.26	0	0
ERICH1	0	0.32	0	0
CNST	0	0.31	0	0
BCL7C	0	0.32	0	0
MYO1C	0	0.31	0	0
NUDT16	0	0.26	0	0
LIMS2	0	0.29	0	0
CDC25B	0	0.33	0.31	0
LMBR1	0	0.28	0	0
RFK	0	0.26	0	0
SPTAN1	0	0.4	-0.26	-0.35
GNAS	0	0.45	0.29	0
WASF2	0	0.32	0.69	-0.26
HEG1	0	0.29	-0.27	-0.26
RALB	0	0.25	0	0
PIK3R3	0	0.26	0.26	0
TEX264	0	0.31	0	0
CAPNS1	0	0.3	0	0
SYNE1	0	0.26	-0.35	-0.3
SPSB1	0	0.28	0	0
HSD17B12	0	0.33	0	0
CSNK1E	0	0.26	0	0
PDCD6IP	0	0.3	0	0
NFAT5	0	0.33	-0.28	0
C5orf24	0	0.26	0	0
SIGIRR	0	0.25	-0.29	0
ANXA6	0	-0.51	-0.84	0.4
IFI27L2	0	-0.35	-0.34	-0.35
ANXA11	0	-0.37	0.28	0
ENOSF1	0	0.28	0	0
KTN1	0	0.28	0.28	0
SSFA2	0	0.25	0.36	0
PCBP2	0	0.28	0.25	0
TMEM87B	0	0.26	0	0
TCTN3	0	0.52	0	0.35
REEP5	0	0.29	-0.29	0
MYL6B	0	0.27	0.51	0
EBPL	0	0.27	0.31	-0.27
SERINC3	0	0.28	0.36	-0.28
TMOD3	0	0.25	-0.26	0
CASP4	0	0.26	-0.44	0
CCDC25	0	0.25	0	0
EPN1	0	0.27	0	0
RAB5C	0	0.28	0	0
GSDMD	0	0.27	0	0
OCIAD1	0	0.25	0.26	0
ENPP2	0	0.27	0.29	0
TSTA3	0	0.32	0.27	0
NUDT1	0	-0.3	0.34	0
CTNNB1	0	0.26	-0.27	0
CARHSP1	0	0.27	0.45	-0.36
GUSB	0	0.29	0.33	0
DDX17	0	0.28	-0.26	0
CTD-3252C9	0	0.31	-0.27	0
CSF3	0	0.57	0	0
TMEM243	0	-0.31	-0.29	0
CCDC85B	0	0.29	-0.4	-0.45
PAK1	0	-0.27	1.46	0.56
CCDC47	0	0.25	0	0
PAG1	0	-0.32	-0.4	0
ZEB2	0	-0.46	-0.65	0
ARGLU1	0	0.27	-0.28	0
BTG3	0	-0.37	-0.32	-0.25
LDHA	0	-0.41	0.29	0
SNRPD2	0	-0.27	0.3	-0.26
PDE4DIP	0	-0.26	-0.25	0.26
RPLP0	0	-0.26	0.38	0
LAP3	0	0.29	-0.36	0.51
FAM162A	0	-0.32	0.59	0
NAA50	0	-0.26	0.28	0
NTS	0	0.75	0.97	0
LILRA4	0	2.17	0	0
PLAC8	0	2.08	0	0.71
PLD4	0	2.07	0	0.52
LILRB4	0	2	0	0.51
P2RY6	0	1.81	0	0.29
C12orf45	0	1.73	0	0.48
EGLN3	0	1.56	0.55	0
SLC20A1	0	1.53	0.26	0
SPIB	0	1.52	0	0.58
POLB	0	1.51	0.33	0
OPN3	0	1.48	0	0.45
C1orf186	0	1.46	0	0
SEMA7A	0	1.45	0	0.64
MPEG1	0	1.45	0	0
SLC15A4	0	1.44	0	0
ERN1	0	1.41	0	0
PPP1R14B	0	1.37	0.29	0
CCDC50	0	1.35	0	0
TCL1A	0	1.34	0	0
UGCG	0	1.31	0.29	0
SEL1L3	0	1.3	0	0
SLAMF7	0	1.29	0	0.41
JCHAIN	0	1.27	0	-0.79
THEMIS2	0	1.27	0	0.54
NRROS	0	1.26	0	0.37
FCHSD2	0	1.25	0	0
PRMT9	0	1.24	0	0.31
ETV6	0	1.23	0.28	0.83
PTCRA	0	1.22	0	0
DNASE1L3	0	1.21	0	0.63
ETV3	0	1.21	0	0.81
SMPD3	0	1.18	0	0
CLEC4C	0	1.16	0	0
GRASP	0	1.16	0	0.6
MS4A6A	0	1.16	0	0.78
RUBCN	0	1.15	0	0.25
CSF2RB	0	1.14	0	0.38
STAP1	0	1.13	0	0
HVCN1	0	1.1	0	0
CHAF1A	0	1.06	0	0
MYBL2	0	1.05	0	0
ZFAT	0	1.04	0	0
LRRC26	0	1.03	0.97	0
PTPRS	0	1.03	0	0
LINC00996	0	1.02	0	0
CYB561A3	0	0.97	0	0
SH2B3	0	0.96	0	0.33
INPP4A	0	0.96	0	0
RNASE6	0	0.96	0	0.42
HIVEP1	0	0.95	0	0.25
RP5-1171I10	0	0.95	0	0
ALG2	0	0.94	0	0
SEPHS1	0	0.94	0	0
EDEM1	0	0.93	0	0.42
PHACTR1	0	0.91	0	0.35
HIST2H2AA4	0	0.9	0	0
SHD	0	0.9	0	0
LILRA5	0	0.89	0	0.45
CIITA	0	0.89	0	0.47
DERL3	0	0.87	0	0
CCDC88A	0	0.84	0	0.53
BCL11A	0	0.84	0.55	0
N4BP2L1	0	0.83	-0.26	0.37
FAM129C	0	0.82	0	0
CD2AP	0	0.82	0	0
DCK	0	0.81	0	0
SLC7A11	0	0.81	0	0.43
P2RX1	0	0.79	0	0
SLC12A7	0	0.78	0	0
SIDT1	0	0.77	0	0
IGF2R	0	0.76	0	0
LAMP5	0	0.75	0	0
ST6GALNAC4	0	0.74	0	0
RELT	0	0.73	0	0.32
GLT1D1	0	0.72	0	0
AC104024	0	0.72	0	0
RAPGEF1	0	0.71	0	0.48
CLECL1	0	0.7	0	0.26
TNFSF13	0	0.69	0	0
FUZ	0	0.68	0	0
MOB1B	0	0.65	0	0
ARID3A	0	0.65	0	0
IGLON5	0	0.64	0	0
PACSIN1	0	0.62	0	0
RASSF2	0	0.62	0	0.33
WDFY4	0	0.61	0	0.41
PRKCB	0	0.61	0	0
CHML	0	0.61	0	0
CARD11	0	0.59	0	0
CTNS	0	0.56	0	0
PPP1R14A	0	0.56	0	0.88
KIAA0226L	0	0.56	0	0
SRC	0	0.55	0	0
CSF2RA	0	0.53	0	1.3
DRD4	0	0.53	0	0
SCAMP5	0	0.53	0	0
PIK3AP1	0	0.52	0	0
SUSD1	0	0.51	0	0
GAPT	0	0.49	0	0
KMO	0	0.49	0	0
MCOLN2	0	0.48	0	0.56
PAPD7	0	0.48	0	0
GRAMD1B	0	0.47	0	0
ICOSLG	0	0.45	0	0
NEK8	0	0.45	0	0
CDYL	0	0.44	0	0
RP11-117D22	0	0.44	0	0
SLC32A1	0	0.42	0	0
CBFA2T3	0	0.42	0	0
P2RY14	0	0.42	0	0
ABHD15	0	0.41	0	0
PHEX	0	0.41	0	0
PALD1	0	0.41	0	0
ZBTB18	0	0.4	0	0
VASH2	0	0.4	0	0
EPHB1	0	0.39	0	0
SLC41A2	0	0.38	0	0
AFF3	0	0.38	0	0
CRYM	0	0.36	0	0
CLCN5	0	0.35	0	0
CPLX1	0	0.35	0	0
AP001046	0	0.34	0	0
TNNI2	0	0.34	0	0
CIB2	0	0.33	0	0
TLR7	0	0.33	0	0
PLXNA4	0	0.3	0	0
MYB	0	0.29	0	0
PFKFB2	0	0.28	0	0
RGS13	0	0.28	0	0
RET	0	0.27	0	0
RP11-147L13	0	0.27	0	0
SCN9A	0	0.26	0	0
SLC12A3	0	0.26	0	0
RP11-542M13	0	0.25	0	0
IGKV1-12	0	-0.61	0	0
BLNK	0	0.52	0	0
CXorf21	0	0.83	0	0
TFEC	0	0.35	0	0
ADAM19	0	0.67	-0.27	0.6
ENTPD7	0	0.46	0	0
PIK3CG	0	0.48	0	0
TBC1D13	0	0.49	0	0
ATF5	0	1.43	0.66	0.93
IFI44L	0	1	-0.27	0
CH507-42P11	0	0.52	0	0
HRH2	0	0.35	0	0
SLC25A29	0	0.42	0	0
LILRB2	0	0.5	0	0.4
C1orf228	0	0.32	0	0
CD300A	0	0.43	0	0.31
FXYD2	0	0.47	0	0
TMIGD2	0	0.26	0	0
MS4A4A	0	0.27	0	0
SPCS1	0	0.91	0	0
IL4I1	0	1.04	0	1.11
RASGRP2	0	0.44	0	0
CH17-373J23	0	0.41	0	0
GNG7	0	0.41	0	0
GMPR	0	0.39	0.3	0
UNC93B1	0	0.54	0.25	0
HLA-DOA	0	0.37	0	0.41
TMEM8B	0	0.27	0	0
TGFBR1	0	0.54	0	0
CTD-2287O16	0	0.26	0	0
MAP2K6	0	0.32	0	0
IDH3A	0	0.71	0	0
PDE7A	0	0.52	0	0
LILRB1	0	0.35	0	0
ARID3B	0	0.39	0	0
FGD2	0	0.35	0	0.29
LPIN1	0	0.77	-0.29	0
MAN2B1	0	0.73	0	0.43
MILR1	0	0.26	0	0
CORO7	0	0.26	0	0
LAIR1	0	0.34	0	0
GNA13	0	0.67	-0.26	0.42
VEGFB	0	0.39	0	0
RPS6KA4	0	0.56	0	0
PTCH2	0	0.36	0	0
C3orf58	0	0.69	0.41	0
CNPY3	0	0.73	0	0
MAPKAPK2	0	0.63	0	0
EIF2AK4	0	0.71	0	0
FYTTD1	0	0.8	0.41	0.31
ZDHHC17	0	0.41	0	0
PIK3R5	0	0.47	0	0.34
MARCH1	0	0.29	0	0
GYS1	0	0.42	0	0
GTPBP1	0	0.55	0	0
RELL1	0	0.49	0	0
C15orf39	0	0.45	0	0
NUP62	0	0.66	0	0
CERS6	0	0.45	0	0.31
IFIT2	0	0.88	0	0
MX2	0	0.68	-0.25	0
KAT2B	0	0.34	0	0
ANKRD11	0	0.75	0	0
HYOU1	0	0.6	0	0
CLN8	0	0.52	0	0
ADTRP	0	0.34	0	0
GALNT3	0	0.45	0.41	0
ZNF10	0	0.48	0	0
LST1	0	0.28	0	1.1
OFD1	0	0.69	0	0
RNU12	0	0.42	0	0
GRAMD4	0	0.34	0	0
AZIN2	0	0.27	0	0
PI4KA	0	0.4	0	0
HIST1H2BC	0	0.71	0.5	0
GNA12	0	0.36	0	0
CBX6	0	0.41	0	0
GAB1	0	0.29	0	0
BCL2L13	0	0.5	0	0
OGT	0	0.59	0	0
SRD5A1	0	0.48	0.29	0
NADK	0	0.41	0	0
JOSD1	0	0.67	0	0
A1BG	0	0.45	0	0
MT-CO3	0	-0.92	0.59	0
SYK	0	0.35	0	0
DENND4A	0	0.54	-0.25	0
EIF4A3	0	1	0	0.31
RP11-138A9	0	0.32	0	0
USF2	0	0.44	0	0
MFSD12	0	0.32	0	0
SLC35E1	0	0.37	0	0
CDK9	0	0.47	0	0
PRDX2	0	-0.8	0.25	-0.59
CYSLTR1	0	0.27	0	0
NPIPB5	0	0.34	0	0
FAM53C	0	0.58	0	0
PARK7	0	0.52	-0.3	0
ST3GAL2	0	0.26	0	0
CYTH4	0	0.34	0	0
GMPPB	0	0.4	0	0
MT-ND4L	0	-0.72	0.26	0
B4GALT1	0	0.74	-0.25	0
BTAF1	0	0.43	0	0
MT-ATP8	0	-0.74	0.34	0
PIGA	0	0.38	0	0
ERP29	0	0.6	0	0
ATP13A2	0	0.3	0	0
MED13L	0	0.43	0.27	0
ATP2A3	0	0.34	0	0
AGPAT5	0	0.5	0	0
JUND	0	0.65	-0.38	0
CCDC186	0	0.6	0	0
BANP	0	0.42	0	0
LRR1	0	0.43	0	0
DHTKD1	0	0.33	0	0
GNL3	0	0.74	0	0
CTDP1	0	0.36	0	0
CAPN2	0	-0.64	0.37	-0.27
FAM105A	0	0.4	0	0
PPP6R1	0	0.36	0	0
RNF126	0	0.49	0	0
ARHGEF7	0	0.43	0	0
SFT2D2	0	0.46	0	0
CXorf40A	0	0.58	0	0
RBM47	0	0.33	0.38	0.32
MICAL1	0	0.33	0.29	0.32
N4BP2	0	0.31	0	0
NINJ1	0	0.72	-0.58	0.71
AF213884	0	0.29	0	0
PPP1R3B	0	0.25	0	0
MT-ATP6	0	-0.65	0.38	0
YWHAQ	0	-0.63	0.46	0
HIGD1A	0	0.29	0	0
PNOC	0	0.32	0	0
GGA2	0	0.4	0	0
BRD4	0	0.52	0	0
HIST1H2BK	0	0.42	0.59	0
RPS9	0	0.32	-0.31	0
HIST2H2BE	0	0.31	0	0
ARHGAP18	0	0.37	-0.3	0
REPIN1	0	0.31	0	0
ABCE1	0	0.49	0.28	0
PDGFB	0	0.26	0	0
GPR157	0	0.49	0	1.02
NAPA	0	0.49	0	0
TOR3A	0	0.79	0	0.4
ARL5B	0	0.66	0.31	0.34
NFX1	0	0.35	0	0
ZBTB10	0	0.45	0	0.33
RPPH1	0	0.26	0	0
RPS11	0	0.33	0	0
CDH1	0	0.32	0.74	0
ARHGAP27	0	0.26	0	0
ZNF891	0	0.26	0	0
FBXW11	0	0.37	0	0
COBLL1	0	0.33	0	0
NBPF14	0	0.39	0	0
MEF2D	0	0.36	0	0
SH3BP4	0	0.31	0.35	0
NBPF26	0	0.51	0	0
AC058791	0	0.28	0	0
TNFSF9	0	0.49	0	0
METRNL	0	0.3	0	0
SEC16A	0	0.31	0	0
PARP10	0	0.34	0	0
RHBDF2	0	0.31	0	0
MAP4K4	0	0.39	0	0
VAV1	0	0.25	0	0
ITPR1	0	0.27	0	0
PTP4A3	0	0.32	0	0
ADCY3	0	0.28	0	0
ADA	0	0.33	0	0
AHI1	0	0.38	-0.25	0
MT-CO1	0	-0.52	0.45	0
MDFIC	0	0.32	0	0
CAT	0	0.37	0	0.31
SPCS3	0	0.41	-0.25	0
SKIL	0	0.46	-0.27	0
RREB1	0	0.27	0	0
PPP1R10	0	0.43	0.33	0
TMBIM1	0	-0.48	0.44	-0.27
NUAK2	0	0.29	0	0
NGLY1	0	0.34	0	0
NRDC	0	0.4	0	0
RAB40B	0	0.46	0.26	0
SLC25A19	0	0.3	0	0
UBE2J1	0	0.38	-0.29	0
BAG1	0	0.46	0.27	0
MAP3K2	0	0.36	0	0
GRSF1	0	0.44	0	0.62
FAM53B	0	0.28	0	0
DAPP1	0	0.36	0	1.02
SEMA4A	0	0.36	0	0
GPI	0	-0.53	0.58	-0.25
AMZ2	0	0.42	0	0
ITPR2	0	0.28	0.61	0
ZBTB38	0	-0.43	-0.26	0
BAK1	0	0.32	0	0
WDR83OS	0	-0.41	0	0
CHCHD2	0	0.34	0.28	0
TRMT112	0	-0.44	0.34	-0.35
CNIH4	0	-0.44	0.27	-0.36
KLF3	0	0.59	0.55	0
SP110	0	0.32	-0.27	0
MYCL	0	0.26	0	0
PGAM1	0	-0.55	-0.28	0
TMEM106C	0	-0.39	0.49	-0.33
KLHDC4	0	0.25	0	0
SND1	0	0.36	0	0
MAD2L2	0	0.4	0.35	0
TCEB2	0	-0.43	0.3	-0.27
SLFN11	0	0.27	0	0
USP7	0	0.25	0	0
SNAP29	0	0.38	0	0
ARFGAP3	0	0.4	0	0
MPST	0	-0.35	0.29	0
FKBP8	0	-0.42	0	0
SLC1A4	0	0.31	0	0
ITCH	0	0.28	0	0
SNX9	0	0.33	-0.48	0
TMEM39A	0	0.34	0	0
SRRM2	0	0.37	0.28	0
GNAQ	0	0.27	0	0
MT-ND5	0	-0.45	0.27	0
TMEM14A	0	-0.42	0.54	-0.34
PLEKHO1	0	0.3	0	0
SKAP2	0	0.32	0	0
ATPIF1	0	-0.43	-0.29	-0.43
ERCC1	0	0.36	0	0
SRSF6	0	0.32	0.29	0
SSR1	0	0.38	0.27	0
RNF187	0	-0.39	0.3	-0.3
DUSP3	0	0.31	0	0
DBNL	0	0.34	0	0.37
SHISA5	0	-0.45	-0.27	-0.5
GAK	0	0.27	0	0
DPY30	0	-0.35	0.39	0
TBC1D8	0	0.27	0	0.53
ZNF706	0	0.34	0.44	0
FBXO34	0	0.38	0	0
PTPN2	0	0.31	0	0.27
TMEM256-PLSCR3	0	-0.33	0.27	0
RPP21	0	-0.36	0.3	-0.36
NDFIP2	0	-0.37	0	-0.36
DNAJC4	0	0.33	0	0
ATP6V0C	0	0.29	0.25	0
MED29	0	0.38	0	0
VPS28	0	-0.39	0.33	0
STX7	0	0.28	0	0
SIVA1	0	0.36	0.34	-0.31
TOB2	0	0.33	0	0
RP11-182L21	0	0.28	0	0
SMC6	0	0.31	0	0
THAP2	0	0.7	0	0.39
STAT6	0	0.31	0	0
GLUD1	0	-0.48	0.41	0
NAGK	0	0.3	0	0
HIF1A	0	-0.54	-0.48	0
TRIM44	0	0.28	0	0
WDFY2	0	0.29	0	0
RNF11	0	0.34	0	0
SUMO2	0	-0.32	0	0
ARHGAP5	0	0.27	0.25	0
PDPK1	0	0.29	0	0
INPP1	0	-0.29	0.26	0
TMEM106B	0	-0.27	0.47	-0.25
ETF1	0	0.31	0	0
FPGS	0	0.27	0	0
SRPRA	0	0.33	-0.29	0
C11orf71	0	0.29	0	0
TMEM107	0	0.33	0	0
CBX3	0	-0.4	0.27	0
MEA1	0	-0.36	0.34	0
PPP1CC	0	-0.39	0.39	-0.41
GLTP	0	-0.36	0.72	0
MAGEF1	0	-0.26	0.65	0
FAM96A	0	0.3	0.28	0
JMJD1C	0	0.29	-0.39	0
RBM6	0	0.27	0	0
USP11	0	0.3	-0.26	0
HACD3	0	-0.31	0.48	-0.31
NUDT22	0	0.31	0	0
MIF4GD	0	0.26	0	0
ECHS1	0	-0.35	0.28	0
ATG101	0	0.37	0	0
DGCR6L	0	-0.32	0.26	-0.29
ALDH3A2	0	-0.28	0.34	0
EIF1AY	0	0.34	-0.28	0
DEGS1	0	-0.36	-0.36	0
RAB21	0	0.28	0	0
BCL3	0	0.32	-0.3	0.37
TM9SF2	0	0.31	0.31	0
MEAF6	0	-0.35	0	-0.28
HMOX2	0	-0.33	0	0
STAT1	0	0.31	-0.25	0
MRPS26	0	-0.34	0.38	-0.32
C19orf60	0	-0.35	-0.31	0
C6orf62	0	0.26	0	0
TMX4	0	-0.35	-0.4	-0.33
APEX1	0	0.31	0.3	0
SDC4	0	-0.39	0.92	0
AP000769	0	0.4	0	0
UBALD2	0	0.28	0	0
HK1	0	-0.27	0	0
SFXN1	0	-0.29	0	-0.25
ST13	0	-0.34	0.38	0
MT-ND1	0	-0.45	0.34	0
LAPTM4B	0	-0.29	0.34	-0.3
ECH1	0	-0.36	0	0
MGAT2	0	0.28	0	0
APOL6	0	-0.31	-0.31	0
INTS6	0	0.29	0	0
COPA	0	0.29	0	0
TWISTNB	0	0.78	0	0
POLR2F	0	-0.34	0.65	-0.33
RNF144B	0	0.28	0	0.56
C16orf13	0	-0.33	0.29	-0.29
DCPS	0	0.37	0.29	0
GLA	0	0.54	-0.37	0.5
SUPT5H	0	0.26	0	0
H1FX	0	0.52	0.97	0
MLF1	0	-0.3	0.54	-0.29
APPL1	0	0.26	0.26	0
SF3B6	0	-0.34	0.33	-0.3
CISH	0	0.3	0	0
DYNLRB1	0	-0.35	0.28	-0.25
COPS6	0	-0.32	0.3	-0.27
ACTL6A	0	-0.27	0.67	-0.25
POR	0	-0.26	0.53	0
SHMT2	0	-0.3	0.58	0
PAPSS1	0	-0.26	0.28	0
DDX3Y	0	0.3	-0.36	0
HNRNPH1	0	0.29	0	0
PPT1	0	-0.31	0	0.42
GBP4	0	-0.34	-0.28	0
SUMO1	0	-0.32	0	0
POP7	0	-0.26	0.52	0
SRP9	0	-0.34	0.43	-0.3
CD47	0	0.26	0.25	0
VAPA	0	-0.3	0	0
CHIC2	0	-0.32	-0.28	-0.29
KLHDC2	0	-0.25	0.27	-0.27
THOC3	0	-0.32	0.28	-0.3
TMEM134	0	-0.28	0.36	0
PPP1R11	0	-0.28	0	0
UBAC2	0	0.28	0	0
CCDC167	0	-0.25	0	0
ETHE1	0	-0.3	-0.26	0
TECR	0	-0.35	0.44	-0.42
CAST	0	-0.34	0.32	0
AHR	0	-0.35	-0.29	0
DFFA	0	0.3	0	0
MRPL40	0	-0.26	0.37	0
ERO1B	0	0.25	0	0
MFSD10	0	-0.3	0.55	0
HDDC2	0	-0.25	0.28	-0.27
TRPM4	0	0.3	0	0
ARF5	0	-0.32	0.31	0
PMVK	0	-0.28	0	0
HIST3H2A	0	-0.26	0.34	0
MRPL33	0	-0.31	0	0
FADD	0	-0.26	0.25	0
HPRT1	0	-0.3	-0.25	0
KIF5B	0	0.34	0	0
NDUFB10	0	-0.31	0.28	-0.27
ITGA1	0	-0.32	-0.33	-0.3
DEK	0	-0.37	0.68	0
PSMC5	0	-0.3	0.34	0
BTN3A2	0	-0.33	-0.32	-0.35
SRPK1	0	-0.25	0.27	0
PUF60	0	-0.31	0.32	0
ANXA7	0	-0.29	0	0
SMG1	0	0.25	0	0
AP1S1	0	-0.26	0.59	0
VDAC1	0	-0.32	0.45	0
NGRN	0	-0.31	0.37	-0.36
HMGB1	0	-0.37	-0.56	-0.55
RAB5A	0	0.27	0	0
METTL5	0	-0.26	0.32	0
WSB1	0	0.28	-0.39	0
YME1L1	0	0.26	0	0
MRPL21	0	-0.34	0.31	-0.25
SRI	0	-0.3	0.92	0
HSPA2	0	-0.27	0.53	0
PYURF	0	-0.29	0.29	-0.29
TMEM140	0	-0.28	-0.3	0
PSMA7	0	-0.29	0.32	0
MRPL43	0	-0.27	0.3	0
NDUFC1	0	-0.29	0.3	-0.29
ADSS	0	-0.28	0	0
HIST1H2BJ	0	0.32	0	0
LAMTOR4	0	-0.3	0.35	0
PCNA	0	-0.28	0.52	-0.27
PPP2R1A	0	-0.28	0	0
HSF1	0	-0.26	0.42	0
COMMD7	0	-0.27	0.26	0
GADD45GIP1	0	-0.29	0.25	0
SYTL2	0	-0.26	-0.25	0
POLR3GL	0	-0.26	-0.25	0
NDUFA12	0	-0.27	0.36	0
MRPS34	0	-0.28	0.31	0
UGP2	0	-0.28	0	0
BUD31	0	-0.28	0.28	-0.27
SLIRP	0	-0.29	0.33	0
SNX2	0	-0.26	0	0
RAB7A	0	-0.26	0.29	0
SRSF3	0	0.27	0.44	0
HIST1H3H	0	0.26	0	0
SSBP1	0	-0.28	0.3	0
RAP1B	0	-0.3	-0.27	0
SNX6	0	-0.27	-0.3	0
CLTB	0	-0.33	0.53	0
VDAC2	0	-0.31	0.61	0
STRA13	0	-0.27	0.64	0
AGPAT2	0	0.25	0.33	0
TCEB1	0	-0.28	0.38	0
POLD4	0	-0.28	-0.44	0
DDIT3	0	-0.31	0.34	0
PIGT	0	-0.28	0.8	-0.36
MDH1	0	-0.26	0.34	0
MZT2A	0	-0.28	0.27	0
ACSL3	0	0.26	0.31	0
SSU72	0	-0.25	0.31	0
CXorf40B	0	0.47	0	0
RNF7	0	-0.27	0.43	-0.37
C4orf3	0	-0.26	0.42	0
TERF1	0	0.35	0.29	0
DUT	0	-0.33	-0.31	-0.38
MDH2	0	-0.29	0.26	0
POLR2K	0	-0.25	0.37	-0.38
DCUN1D5	0	-0.25	0.37	-0.28
OSM	0	0.33	0	0
MGAT1	0	-0.27	-0.36	0.33
IER5	0	0.35	0	0.4
DNAJA4	0	0.39	0	0
CENPF	0	0.97	0.72	0
BIRC5	0	0.95	0.41	0
RRM2	0	0.9	0.34	0
CDKN3	0	0.86	0.93	0
UBE2C	0	0.8	0.88	0
CCNB1	0	0.77	0.53	0
MKI67	0	0.75	0.41	0
CDC20	0	0.65	0.52	0
CCNB2	0	0.63	0.44	0
TPX2	0	0.63	0.51	0
TMSB15A	0	0.62	0.62	0
PRC1	0	0.61	0.28	0
KIAA0101	0	0.6	0.27	0
MAD2L1	0	0.58	0.5	0
ASPM	0	0.56	0.28	0
ANLN	0	0.54	0.38	0
HAS2	0	0.5	0	0
KIF20A	0	0.49	0.31	0
TROAP	0	0.42	0.31	0
HMMR	0	0.42	0.35	0
SPDL1	0	0.41	0	0
DIAPH3	0	0.4	0	0
PBK	0	0.39	0.31	0
GTSE1	0	0.39	0	0
DLGAP5	0	0.38	0.35	0
FOXM1	0	0.37	0.31	0
KIF23	0	0.36	0	0
DEPDC1	0	0.35	0.28	0
SCARA3	0	0.33	0.38	0
TRIP13	0	0.33	0.4	0
SHCBP1	0	0.29	0	0
FAM64A	0	0.29	0.27	0
CTD-2171N6	0	0.27	0	0
PRR11	0	0.26	0	0
HS3ST3A1	0	0.26	0	0
CEP55	0	0.28	0.34	0
CENPE	0	0.44	0	0
TOP2A	0	0.64	0.54	0
DHFR	0	0.45	0.32	0
CENPA	0	0.33	0.48	0
DTYMK	0	0.62	0.34	0
CENPK	0	0.39	0	0
CKAP2L	0	0.26	0.33	0
CCDC34	0	0.46	0.45	0
CASC5	0	0.28	0	0
UHRF1	0	0.37	0.25	0
PLK1	0	0.35	0.29	0
CENPN	0	0.41	0.57	0
CCNA2	0	0.32	0.49	0
SGOL2	0	0.29	0	0
ZWILCH	0	0.25	0	0
ZWINT	0	0.36	0.34	0
NUSAP1	0	0.56	0.25	0
CDCA3	0	0.31	0.28	0
NUF2	0	0.27	0.38	0
CENPH	0	0.28	0.35	0
SMARCA1	0	0.29	0	0
LMNB2	0	0.42	0.45	0
SMC2	0	0.37	0.31	0
CLSPN	0	0.31	0	0
KIF20B	0	0.45	0	0
ALDH7A1	0	0.3	0.29	0
